sku,title,description,price,quantity,isbn
"2725600588","Le Yoga et la tradition hindoue","[2025-06-28 22:53:17]   → Groq IA (génération gratuite)... [2025-06-28 22:53:19]     ✓ Groq IA : description générée ""Découvrez les secrets du yoga et de la tradition hindoue avec cet ouvrage passionnant de Jean Varenne. Dans ce livre richement documenté, l'auteur vous emmène sur les chemins de l'Inde ancienne et moderne, pour explorer les racines philosophiques et spirituelles du yoga. Vous y trouverez une analyse approfondie des textes fondamentaux de l'hindouisme, tels que les Upanishad et le Bhagavad-Gita, ainsi que des descriptions détaillées des pratiques yogiques traditionnelles. De la méditation à la posture, en passant par la respiration et la concentration, Jean Varenne vous initie aux différentes facettes de cette pratique millénaire. Étant donné l'importance croissante du yoga dans notre société contemporaine, cet ouvrage est une référence incontournable pour tous ceux qui cherchent à comprendre les fondements de cette discipline. Ce livre d'occasion en bon état, avec ses 254 pages de texte dense et précieux, vous attend pour vous plonger dans l'univers fascinant de la tradition hindoue et du yoga."" ","8","1","2725600588"
"9782738131195","Les adultes tyrans","Qui sont ces individus qui, dans la rue, au travail, au sein du couple ou en famille, agissent en fonction de leur seul bon vouloir ? Comment freiner ces comportements abusifs chez les autres et parfois même chez nous ? Comment résister aux «Moi, Moi, Moi» ? Comme il l'avait fait pour l'enfant roi, Didier Pleux examine ce nouveau phénomène et en signale les risques. C'est tout simplement le lien social qui est en jeu. Un examen salutaire qui va nous aider à trouver les bonnes attitudes pour combattre les comportements d'adulte roi, savoir s'en prémunir pour ne pas en souffrir ! Car l'adulte-roi peut basculer vers l'adulte-tyran, si on ne s'y oppose pas. En prendre conscience doit nous convaincre qu'il est possible d'agir sur ces dictatures du quotidien. Les remèdes existent... Ils sont éducatifs. Didier Pleux est docteur en psychologie du développement, psychologue clinicien et un auteur de référence en matière d'éducation. Il dirige l'Institut français de thérapie cognitive. Il est l'auteur de plusieurs succès parmi lesquels : De l'enfant roi à l'enfant tyran, Peut mieux faire, Exprimer sa colère sans perdre le contrôle et Un enfant heureux. ","5.07","1","9782738131195"
"2883533334","12 plantes et leurs huiles essentielles","Angélique, basilic, cannelle, citron, laurier, mandarine, marjolaine, mélisse, menthe poivrée, romarin, sarriette, thym. Découvrez ou redécouvrez les vertus de ces plantes et de leurs huiles essentielles pour accroître votre capital vital, corriger votre terrain, ""régler"" les petits désagréments de la vie quotidienne et parfois même lutter contre des infections microbiennes. Le totum phyto-aromatique est un produit révolutionnaire inventé pour éliminer les risques liés à la consommation de l'huile essentielle pure et optimiser son utilisation selon les besoins. Il allie les principes actifs d'une plante avec ceux de son huile essentielle, pour une action thérapeutique optimale et sans danger. Ainsi, on extrait la poudre d'une plante - ou d'un assortiment de plantes - dont on module les proportions en fonction de l'effet recherché, tout en lui garantissant une teneur élevée en huile essentielle. L'auteur vous fait découvrir ici 12 plantes et leurs huiles essentielles avec leurs indications, propriétés et usages les plus courants. C'est donc une véritable pharmacie familiale que vous aurez à votre disposition ! Avec un index complet et précis pour mieux comprendre les vertus de chaque plante et de son huile essentielle. ","5.07","1","2883533334"
"2227310235","Les grands thèmes du Coran","[2025-06-28 22:53:32]   → Groq IA (génération gratuite)... [2025-06-28 22:53:33]     ✓ Groq IA : description générée Dans ce précieux volume, Jacques Jomier, spécialiste reconnu de l'islamologie, nous invite à découvrir les grands thèmes du Coran. Cette œuvre de référence, éditée par Le Centurion, nous offre une approche claire et érudite de la parole divine, révélée au prophète Mahomet. Au fil de ses 127 pages, l'auteur nous guide à travers les principaux concepts qui structurent la pensée islamique : la création, la prophétie, la justice, la miséricorde, la foi et la spiritualité. Grâce à une analyse minutieuse et éclairée des versets coraniques, Jomier nous permet de saisir l'essence même de la doctrine musulmane. Ce livre d'occasion, en excellent état, est une opportunité unique de découvrir ou de approfondir sa connaissance du Coran et de l'islam, dans un contexte de respect et de compréhension mutuelle. Le format broché et la pagination concise en font un compagnon de lecture idéal pour les études, la recherche ou simplement la curiosité intellectuelle. ","39.77","1","2227310235"
"9782351952375","A la découverte de l'homéopathie","D'ou vient l'homéopathie ? Que soigne-t-on par l'homéopathie ? Quels résultats peut-on en attendre ? Comment choisir le bon remède ? Comment préparer son rendez-vous avec son homéopathe ? Voilà autant de questions que toute personne désireuse d'essayer cette médecine biologique ou en phase de démarrer un traitement peut légitimement se poser. Ce livre a été écrit pour y apporter des réponses concrètes. D'autres thèmes sont abordés comme l'homéopathie pour les bébés et les enfants ou l'homéopathie vétérinaire. Des remèdes pour les urgences familiales sont proposés. Ce livre simple, limpide, et illustré de nombreux cas concrets, apportera au lecteur les réponses essentielles pour bien débuter avec l'homéopathie. ","8.87","1","9782351952375"
"2040039120","Des rythmes biologiques à la chronobiologie","[2025-06-28 22:53:42]   → Groq IA (génération gratuite)... [2025-06-28 22:53:44]     ✓ Groq IA : description générée ""Découvrez les secrets du temps biologique avec ce livre passionnant de Alain Reinberg, expert en chronobiologie ! Dans ""Des rythmes biologiques à la chronobiologie"", l'auteur vous emmène à la découverte des rythmes qui régissent notre corps et notre esprit. De la régulation des cycles de sommeil et de veille aux phénomènes de synchronisation avec les cycles naturels, Reinberg explore les dernières avancées de la recherche dans ce domaine en pleine expansion.  Vous y trouverez des informations précieuses sur les mécanismes qui gouvernent nos rythmes circadiens, les effets de la lumière et de la température sur notre horloge biologique, ainsi que les implications de la chronobiologie dans la santé et la médecine. Ce livre, richement documenté et accessible, est à la fois un outil précieux pour les professionnels de la santé et un livre de vulgarisation passionnant pour les curieux de science.  Ce livre d'occasion en bon état, broché, comporte 152 pages et est édité par Gauthier-Villars. Avec son ISBN 2040039120, il est facile à référencer et à ajouter à votre bibliothèque personnelle. N'attendez plus pour plonger dans l'univers fascinant de la chronobiologie !"" ","8.97","1","2040039120"
"2902605072","La Tradition","[2025-06-28 22:53:49]   → Groq IA (génération gratuite)... [2025-06-28 22:53:50]     ✓ Groq IA : description générée ""Immergez-vous dans l'univers de la théorie littéraire avec ""La Tradition"" de Fernand Schwarz, un ouvrage de référence qui explore les fondements de la connaissance et de la compréhension de l'œuvre littéraire. Ce livre de 349 pages, édité en format broché, vous propose un voyage intellectuel à travers les concepts clés de la théorie littéraire, de la critique et de l'analyse. Vous y découvrirez les principes fondamentaux de la tradition littéraire, les écoles de pensée qui l'ont façonnée et les enjeux épistémologiques qui l'ont modelée. Schwarz, un spécialiste reconnu dans le domaine, vous guide avec érudition et clarté à travers les différents courants de la pensée littéraire, de la philosophie à la critique littéraire en passant par la sociologie et l'histoire. Ce livre d'occasion, en excellent état, est une occasion unique de se plonger dans les arcanes de la théorie littéraire et d'approfondir votre compréhension de l'œuvre littéraire. Un must-have pour les étudiants, les chercheurs et les passionnés de littérature qui cherchent à élargir leurs connaissances et à affiner leur regard sur le monde littéraire."" ","59.97","1","2902605072"
"9782813202123","La Médecine face à l'Au-delà","Ils sont magnétiseurs, médiums, guérisseurs mais aussi chirurgiens, anesthésistes, urgentistes, infirmiers, aide soignants ou simples malades et, pour la première fois dans cet ouvrage, ils racontent leurs expériences avec ce que certains appellent l'au-delà. À la lumière de tous ces témoignages époustouflants traditionnellement niés par le monde médical et de son expérience professionnelle auprès des comateux et des mourants, l'auteur nous fait partager le fruit de ses recherches sur la mort, la maladie et les guérisons dites "" miraculeuses "". La médecine et l'au-delà : deux univers parallèles et pourtant complémentaires. ","0","1","9782813202123"
"9782070612758","Le petit prince","Le premier soir je me suis donc endormi sur le sable à mille milles de toute terre habitée. J'étais bien plus isolé qu'un naufragé sur un radeau au milieu de l'océan. Alors vous imaginez ma surprise, au lever du jour, quand une drôle de petite voix m'a réveillé. Elle disait : S'il vous plaît... dessine-moi un mouton ! Hein ! - Dessine-moi un mouton... J'ai sauté sur mes pieds comme si j'avais été frappé par la foudre. Le chef-d'œuvre universel de poésie, d'humanité et d'émotion... ","0","1","9782070612758"
"9782412019542","Le livre du Hygge","Pourquoi les Danois sont-ils les gens les plus heureux du monde ? Pour Meik Wiking, directeur de l'Institut de recherche sur le bonheur à Copenhague, la réponse est simple : grâce au hygge. Sans équivalent français, le terme « hygge » (à prononcer « hoo-ga ») évoque les notions de confort, du vivre-ensemble et de bien-être profond. « Le hygge est une ambiance, une véritable atmosphère » explique Meik Wiking. « C'est profiter de ceux que l'on aime en passant du temps auprès d'eux, avec ce sentiment de se sentir chez soi, en sécurité. » Le hygge, c'est ce que vous éprouvez lorsque vous vous prélassez sur votre canapé, des chaussettes douillettes aux pieds, emmitouflé dans une couverture douce tout en observant par la fenêtre les éclairs d'un gros orage. C'est le bonheur que vous ressentez lorsque vous partagez une conversation et un délicieux repas avec vos proches autour d'une table ornée de bougies. C'est la chaleur des premiers rayons de soleil sur votre visage un jour de ciel bleu. Le Livre du Hygge vous invite à découvrir les grands principes de cette philosophie de vie danoise, avec de nombreux conseils et idées pour l'incorporer à votre quotidien : Se mettre à l'aise et faire un break ; Profiter de l'instant présent (et couper son téléphone) ; Éteindre les lumières et profiter de la lueur des bougies ; Prendre soin de ses relations et passer plus de temps avec ses proches ; S'autoriser des petits écarts et mettre de côté les principes de bonne santé (les gâteaux font bien partie du hygge !) Vivre chaque jour, et chaque café, comme si c'était le dernier. ","0","1","9782412019542"
"9782070360024","L'étranger","Analyse : Roman psychologique (intime). ","0","1","9782070360024"
